التاريخ,النقرات,عدد مرات الظهور,متوسط تكلفة النقرة,التكلفة
الجمعة، 13 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
السبت، 14 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الأحد، 15 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الاثنين، 16 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الثلاثاء، 17 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الأربعاء، 18 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الخميس، 19 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الجمعة، 20 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
السبت، 21 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الأحد، 22 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الاثنين، 23 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الثلاثاء، 24 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الأربعاء، 25 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الخميس، 26 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الجمعة، 27 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
السبت، 28 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الأحد، 29 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الاثنين، 30 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الثلاثاء، 31 أكتوبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الأربعاء، 1 نوفمبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الخميس، 2 نوفمبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الجمعة، 3 نوفمبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
السبت، 4 نوفمبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الأحد، 5 نوفمبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الاثنين، 6 نوفمبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الثلاثاء، 7 نوفمبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الأربعاء، 8 نوفمبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
الخميس، 9 نوفمبر 2023,0,0,‏0.00 ر.س.‏,‏0.00 ر.س.‏
